,season,task_episode,task_description,task_contestant,task_score
0,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Prize: Best liquid.,Alice Levine,4
1,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Prize: Best liquid.,Asim Chaudhry,1
2,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Prize: Best liquid.,Liza Tarbuck,3
3,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Prize: Best liquid.,Russell Howard,1
4,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Prize: Best liquid.,Tim Vine,5
5,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Perform the best stunt using a wheelbarrow.,Alice Levine,5
6,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Perform the best stunt using a wheelbarrow.,Asim Chaudhry,1
7,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Perform the best stunt using a wheelbarrow.,Liza Tarbuck,3
8,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Perform the best stunt using a wheelbarrow.,Russell Howard,4
9,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Perform the best stunt using a wheelbarrow.,Tim Vine,2
10,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Make the highest tower using lemons in a bowl and a knife you can only wield five times.,Alice Levine,4
11,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Make the highest tower using lemons in a bowl and a knife you can only wield five times.,Asim Chaudhry,1
12,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Make the highest tower using lemons in a bowl and a knife you can only wield five times.,Liza Tarbuck,3
13,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Make the highest tower using lemons in a bowl and a knife you can only wield five times.,Russell Howard,5
14,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Make the highest tower using lemons in a bowl and a knife you can only wield five times.,Tim Vine,2
15,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Get to the Taskmaster's house and kiss his portrait while wearing a hat that may not come from the house. Closest to 30 minutes wins.,Alice Levine,5
16,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Get to the Taskmaster's house and kiss his portrait while wearing a hat that may not come from the house. Closest to 30 minutes wins.,Asim Chaudhry,1
17,Series 6,Episode 1: The old soft curved padlock. (2 May 2018),Get to the Taskmaster's house and kiss his portrait while wearing a hat that may not come from the house. Closest to 30 minutes wins.,Liza Tarbuck,3
