,Unnamed: 0,season,task_episode,task_description,task_contestant,task_score
0,0,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Prize: Most embarrassing item.,Bob Mortimer,2
1,1,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Prize: Most embarrassing item.,Josh Widdicombe,5
2,2,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Prize: Most embarrassing item.,Katherine Ryan,4
3,3,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Prize: Most embarrassing item.,Noel Fielding,1
4,4,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Prize: Most embarrassing item.,Rob Beckett,3
5,5,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands. You may not move the shopping trolley.,Bob Mortimer,2
6,6,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands. You may not move the shopping trolley.,Josh Widdicombe,1
7,7,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands. You may not move the shopping trolley.,Katherine Ryan,3
8,8,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands. You may not move the shopping trolley.,Noel Fielding,5
9,9,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands. You may not move the shopping trolley.,Rob Beckett,4
10,10,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Blow something substantial off a table.,Bob Mortimer,2
11,11,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Blow something substantial off a table.,Josh Widdicombe,4
12,12,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Blow something substantial off a table.,Katherine Ryan,4
13,13,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Blow something substantial off a table.,Noel Fielding,1
14,14,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Blow something substantial off a table.,Rob Beckett,5
15,15,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Perform a miracle.,Bob Mortimer,4
16,16,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Perform a miracle.,Josh Widdicombe,5
17,17,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Perform a miracle.,Katherine Ryan,5
18,18,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Perform a miracle.,Noel Fielding,4
19,19,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Perform a miracle.,Rob Beckett,3
20,20,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Live: Write down a word beginning with T every time Alex blows his whistle. The second-longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words you advance an extra step. First to reach the floor wins.,Bob Mortimer,1
21,21,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Live: Write down a word beginning with T every time Alex blows his whistle. The second-longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words you advance an extra step. First to reach the floor wins.,Josh Widdicombe,4
