,season,task_episode,task_description,task_contestant,task_score
0,Series 5,Episode 1: Dignity intact. (13 September 2017),Prize: Most excellent noise.,Aisling Bea,3
1,Series 5,Episode 1: Dignity intact. (13 September 2017),Prize: Most excellent noise.,Bob Mortimer,2
2,Series 5,Episode 1: Dignity intact. (13 September 2017),Prize: Most excellent noise.,Mark Watson,5
3,Series 5,Episode 1: Dignity intact. (13 September 2017),Prize: Most excellent noise.,Nish Kumar,1
4,Series 5,Episode 1: Dignity intact. (13 September 2017),Prize: Most excellent noise.,Sally Phillips,4
5,Series 5,Episode 1: Dignity intact. (13 September 2017),Give Alex a special cuddle.,Aisling Bea,3
6,Series 5,Episode 1: Dignity intact. (13 September 2017),Give Alex a special cuddle.,Bob Mortimer,5
7,Series 5,Episode 1: Dignity intact. (13 September 2017),Give Alex a special cuddle.,Mark Watson,2
8,Series 5,Episode 1: Dignity intact. (13 September 2017),Give Alex a special cuddle.,Nish Kumar,2
9,Series 5,Episode 1: Dignity intact. (13 September 2017),Give Alex a special cuddle.,Sally Phillips,4
10,Series 5,Episode 1: Dignity intact. (13 September 2017),Get Alex onto dry land as elegantly as possible.,Aisling Bea,3
11,Series 5,Episode 1: Dignity intact. (13 September 2017),Get Alex onto dry land as elegantly as possible.,Bob Mortimer,2
12,Series 5,Episode 1: Dignity intact. (13 September 2017),Get Alex onto dry land as elegantly as possible.,Mark Watson,1
13,Series 5,Episode 1: Dignity intact. (13 September 2017),Get Alex onto dry land as elegantly as possible.,Nish Kumar,5
14,Series 5,Episode 1: Dignity intact. (13 September 2017),Get Alex onto dry land as elegantly as possible.,Sally Phillips,4
15,Series 5,Episode 1: Dignity intact. (13 September 2017),Get the basketball through the hoop without using your hands.,Aisling Bea,3
16,Series 5,Episode 1: Dignity intact. (13 September 2017),Get the basketball through the hoop without using your hands.,Bob Mortimer,5
17,Series 5,Episode 1: Dignity intact. (13 September 2017),Get the basketball through the hoop without using your hands.,Mark Watson,4
18,Series 5,Episode 1: Dignity intact. (13 September 2017),Get the basketball through the hoop without using your hands.,Nish Kumar,2
19,Series 5,Episode 1: Dignity intact. (13 September 2017),Get the basketball through the hoop without using your hands.,Sally Phillips,0
20,Series 5,Episode 1: Dignity intact. (13 September 2017),Live: Get one item of fruit into the fishbowl without getting up or throwing it.,Aisling Bea,1
21,Series 5,Episode 1: Dignity intact. (13 September 2017),Live: Get one item of fruit into the fishbowl without getting up or throwing it.,Bob Mortimer,4
22,Series 5,Episode 1: Dignity intact. (13 September 2017),Live: Get one item of fruit into the fishbowl without getting up or throwing it.,Mark Watson,5
