0,1,2,3,4,5,6
Task,Description,Al Murray,Dave Gorman,Paul Chowdhry,Rob Beckett,Sara Pascoe
Episode 1: A pea in a haystack. (4 October 2016),,,,,,
1,Prize: Most flamboyant clock.,4,3,1,2,5
2,Get to a microwave in as few steps as possible.,4,2,0,5,3
3,Propel this pea the furthest distance and land on a red carpet.,5,DQ,2,4,3
4,Make the best snowman.,3,5,1,2,4
5,Live: Balance as many swedes on a Swede as possible.,5,3,4,2,1
Total,21,13,8,15,16,
Episode 2: The dong and the gong. (11 October 2016),,,,,,
1,Prize: Heaviest item that can fit in a shoebox.,3,5,2,4,1
2,Surprise Alex when he emerges from the shed after an hour.,4,3,1,5,2
3,Team Puzzle: Release Alex.,0,0,0,5,5
4,Create the best upside-down self portrait  using condiments.,5,3,2,2,4
5,Pop the balloons as quickly as possible.,1,3,4,5,2
6,Live: Unravel a whole roll of sticky tape and place in a lunchbox.,5,3,4,0,2
Total,18,17,13,21,16,
Episode 3: Little polythene grief cave. (18 October 2016),,,,,,
1,Prize: Best battery-operated item.,2,1,4,5,3
2,Fill an egg cup with your own sweat.,DQ,3,5,2,4
3,Make the best domino rally.,1,4,5,3,1
4,Buy a gift for the Taskmaster with £20.,3,5,2,4,1
5,Create the best flag meal.,2,5,4,1,3
6,Live: Anchor these balloons using only bread.,1,3,2,4,5
Total,9,21,22,19,17,
Episode 4: A very nuanced character. (25 October 2016),,,,,,
1,Prize: Shiniest thing.,1,3,5,2,4
2,Spread your clothes as far and wide as possible.,5,3,1,4,2
3,"Find out what this gentleman did for a living, but he could only reply falsely.",5,4,1,2,3
4,Team: Make the most special effect.,3,3,3,2,2
5,"Live: Wearing a blindfold, cover yourself in sticky notes.",2,4,1,5,3
S,Have the most fun on a bouncy castle for one hour.,–,–,0,–,–
Total,16,17,11,15,14,
Episode 5: The F.I.P. (1 November 2016),,,,,,
1,Prize: Most handsome relative.,4,5,1,3,1
2,Move the water from bucket A to bucket B without moving the buckets.,5,DQ,3,4,3
3,"Team: Play Charades across a river, with giant foam hands.",5,5,5,0,0
4,Do something that looks brilliant when sped up or slowed down.,2,3,3,5,5
5,Live: Place the lowest unique number of doughnuts on a stick.,0,0,0,5,0
Total,16,13,12,17,9,
Grand Total,80,81,66,87,72,
