0,1,2,3,4,5,6
Task,Description,Iain Stirling,Joe Thomas,Lou Sanders,Paul Sinha,Sian Gibson
Episode 1: Hello. (8 May 2019),,,,,,
1,Prize: Most powerful smell.,2,1,5,3,3
2,Find the receiver of the baby monitor attached to your helmet. You must keep your helmet on.,5,3,2,1,4
3,Make a ventriloquist dummy and be chatted up by it.,5,1,4,4,4
4,Sneak up on Alex. He will duck down and up every 10 seconds until you are spotted.,4,5,4,1,2
5,Live: Collect the highest weight of doughnuts in your bucket. Your hands must stay on your hips.,4,2,5,1,3
T,Peel a banana using your feet.,✔,–,✘,–,–
Total,20,12,20,10,16,
Episode 2: A novel about Russian Gulags. (15 May 2019),,,,,,
1,Prize: Best pair of things.,4,1,3,4,5
2,"Put something on your face that looks like a moustache from afar, but it's clear what it really is up close.",2,3,4,5,1
3,"Transfer as much rice as possible into the bottle in the living room. You may only use the contents of the shopping basket, and the bottle must not leave the living room.",3,5,4,1,2
4,"Team: Convey the object in the chest to your teammates. They may not see the object - in the first minute, you may only make facial expressions. In the second minute, you may make noises. In the third minute, you may shout adjectives. From then on, you may whisper verbs.",2,3,2,2,3
5,Run the furthest distance while making a continuous noise with your mouth.,1,5,4,2,3
6,"Live: Say a species of bird, eat a grape, and say the name of a remaining contestant within 5 seconds of hearing your own name. You may not say a species of bird that has already been said.",1,3,4,5,2
Total,13,20,21,19,16,
Episode 3: Stuck in a mammal groove. (22 May 2019),,,,,,
1,Prize: Best burstable thing.,3,2,1,4,5
2,Build the best volcano.,2,5,5,3,2
3,"Work out what Alex is wearing next door. You must both stay in your seats, and Alex may only communicate with his horn.",3,0,4,2,5
4,"Do the worst thing, then make the best apology to Alex for it.",4,2,5,1,3
5,"Live: Get in your first sleeping bag with your arms through the holes, the zip zipped up and the hood up, and salute the Taskmaster for a full five seconds. Then, get in your second sleeping bag while still in the first, and skip once.",5,1,4,1,1
Total,17,10,19,11,16,
Episode 4: The barrel dad. (29 May 2019),,,,,,
1,Prize: Best present for a doctor.,1,4,3,1,5
2,Get this loo roll through the toilet seat. You may not lower the toilet seat.,5,4,4,1,2
3,Make the best thing to engage a toddler.,4,4,3,5,5
4,"Team: Get the most weight into this hammock. If anything falls out of the hammock, you will be disqualified.",DQ,3,DQ,DQ,3
5,"Live: Choose a hoop to throw a frying pan into, then choose a distance to throw from. If you choose the small hoop, you get three attempts - the medium hoop gets two, and the large hoop gets one. Longest distance from a successful throw wins.",0,0,5,4,0
T,Whip the bottle off the barrel.,–,✘,✘,–,✔
Total,10,15,15,11,15,
Episode 5: Stay humble. (5 June 2019),,,,,,
1,Prize: Best face.,5,1,2,4,3
2,"Divert the sand from bucket A to bucket B. You may not touch the sand, move the buckets or leave the room.",DQ,4,5,2,3
3,"Make the most realistic injury using food. If two or more people use ketchup, they are disqualified.",4,4,4,1,5
4,"Team: Play a game of long distance catch with this beach ball. One team member must throw the ball offscreen to another team member who catches it in a different place, and so on over the longest apparent distance.",3,2,3,4,2
5,"Herd the most ping pong balls into the pen. You may only touch the balls with the basketball, the string or one little finger. You may not move the pens. Secret Instruction : Herd this ball and you halve your total.",5,4,4,1,2
6,Live: Recreate the scene after you parade past.,4,5,2,2,2
Total,21,20,20,14,17,
Episode 6: Rock 'n' roll umlaut. (12 June 2019),,,,,,
1,Prize: Best see-through item.,1,4,1,1,1
2,Conceal yourself inside this phone box. No part of you or your clothing may be seen from outside.,5,2,4,1,2
3,Team: Design the most iconic album cover.,2,4,2,2,4
4,"In 5 minutes, tell Alex the order the cards are currently in.",2,4,DQ,5,3
5,Score a goal from the furthest distance. You have one attempt.,DQ,DQ,DQ,DQ,5
Bonus: Perform the best goal celebration.,0,0,0,0,0,
6,Live: Roll your toilet roll between the second and third lines.,0,DQ,5,DQ,0
Live: Retrieve your shoe from the end of your toilet roll without stepping beyond the first line.,,,,,,
Total,10,14,12,9,15,
Episode 7: This is Trevor. (19 June 2019),,,,,,
1,Prize: Best slippery thing.,3,4,5,4,2
2,"Find the Pink Ladies. You must turn over any bowl you move. If you find the green egg, you're disqualified.",DQ,5,4,3,DQ
